execTime = 0; time = 0
execTime = 0.00823721; time = 5.42059
execTime = 0.00822368; time = 5.42882
execTime = 0.00824175; time = 5.43706
execTime = 0.00833287; time = 5.44539
execTime = 0.00936918; time = 5.45476
execTime = 0.00833159; time = 5.46309
execTime = 0.00826269; time = 5.47135
execTime = 0.00831243; time = 5.47967
execTime = 0.00823484; time = 5.4879
execTime = 0.00826618; time = 5.49617
execTime = 0.00825585; time = 5.50442
execTime = 0.00832664; time = 5.51275
execTime = 0.00828216; time = 5.52103
execTime = 0.00833202; time = 5.52936
execTime = 0.00827572; time = 5.53764
execTime = 0.00836264; time = 5.546
execTime = 0.00819589; time = 5.5542
execTime = 0.00821965; time = 5.56242
execTime = 0.00822309; time = 5.57064
execTime = 0.00836336; time = 5.579
execTime = 0.00820557; time = 5.58721
execTime = 0.00847878; time = 5.59569
execTime = 0.00828994; time = 5.60398
execTime = 0.00832127; time = 5.6123
execTime = 0.00820909; time = 5.62051
execTime = 0.00821704; time = 5.62873
execTime = 0.00825001; time = 5.63698
execTime = 0.00839034; time = 5.64537
execTime = 0.00827077; time = 5.65364
execTime = 0.00823712; time = 5.66187
execTime = 0.00827225; time = 5.67015
execTime = 0.00821309; time = 5.67836
execTime = 0.00827179; time = 5.68663
execTime = 0.00835474; time = 5.69499
execTime = 0.00833626; time = 5.70332
execTime = 0.00837807; time = 5.7117
execTime = 0.00835495; time = 5.72005
execTime = 0.00840042; time = 5.72846
execTime = 0.0083071; time = 5.73676
execTime = 0.0081532; time = 5.74492
execTime = 0.00916279; time = 5.75408
execTime = 0.00784526; time = 5.76192
execTime = 0.00785508; time = 5.76978
execTime = 0.00786104; time = 5.77764
execTime = 0.00780083; time = 5.78544
execTime = 0.00780693; time = 5.79325
execTime = 0.00784195; time = 5.80109
execTime = 0.00782645; time = 5.80892
execTime = 0.0078522; time = 5.81677
execTime = 0.00791284; time = 5.82468
execTime = 0.00830038; time = 5.83298
execTime = 0.00796712; time = 5.84095
execTime = 0.00789874; time = 5.84885
execTime = 0.0079253; time = 5.85677
execTime = 0.00815851; time = 5.86493
execTime = 0.00804662; time = 5.87298
execTime = 0.00795335; time = 5.88093
execTime = 0.00799371; time = 5.88892
execTime = 0.00789625; time = 5.89682
execTime = 0.0079086; time = 5.90473
execTime = 0.00794045; time = 5.91267
execTime = 0.00879945; time = 5.92147
execTime = 0.00788217; time = 5.92935
execTime = 0.00795094; time = 5.9373
execTime = 0.00781058; time = 5.94511
execTime = 0.00782137; time = 5.95293
execTime = 0.00787267; time = 5.96081
execTime = 0.0078849; time = 5.96869
execTime = 0.0079281; time = 5.97662
execTime = 0.00803595; time = 5.98466
execTime = 0.0080095; time = 5.99267
execTime = 0.00804958; time = 6.00072
execTime = 0.00850617; time = 6.00922
execTime = 0.0078627; time = 6.01708
execTime = 0.00797482; time = 6.02506
execTime = 0.00787644; time = 6.03294
execTime = 0.00774198; time = 6.04068
execTime = 0.00780793; time = 6.04849
execTime = 0.00784109; time = 6.05633
execTime = 0.0078808; time = 6.06421
execTime = 0.00781908; time = 6.07203
execTime = 0.00789188; time = 6.07992
